,Name,Time,Model,Fit Success,Reason,Pgstat,dof,A,Ep,alpha,Beta,Ab,kT,Ec,DOF
0,,,,,,,,,,,,,,,
0,bn100619015,"[0, 12]",Band,True,Converged (|f_n-f_(n-1)| ~= 0),229.75281131698037,,0.0123 -0.0011 + 0.0011,106.9279 -11.5536 + 12.6663,-0.9953 -0.0613 + 0.0669,-3.0631 -6.9369 + 0.7905,,,,346.0
1,bn100619015,"[0, 12]",Band+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),226.67809168398517,,0.0020 -0.0003 + 0.0003,479.7195 -466.5237 + inf,-1.9000 -0.0000 + 0.1170,-2.0001 -7.9999 + 0.0000,0.0000 -0.0000 + 0.0000,26.2901 -1.8013 + 1.5723,,344.0
2,bn100619015,"[0, 12]",Comptonized,True,Converged (|f_n-f_(n-1)| ~= 0),230.0081989542633,,0.0119 -0.0009 + 0.0009,,-1.0110 -0.0535 + 0.0578,,,,109.5414 -10.5346 + 11.4009,347.0
3,bn100619015,"[0, 12]",Comptonized+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),226.77285752157215,,0.0021 -0.0003 + 0.0003,,-1.9000 -0.0000 + 0.1031,,0.0000 -0.0000 + 0.0000,27.6641 -1.8518 + 1.4443,247.6759 -219.1451 + inf,345.0
0,,,,,,,,,,,,,,,
0,bn100619015,"[77, 101]",Band,True,Converged (|x_n-x_(n-1)| ~= 0),264.8087016010164,,0.0075 -0.0005 + 0.0005,92.5985 -11.8831 + 13.6946,-1.3735 -0.0409 + 0.0435,-5.3704 -4.6296 + 2.9089,,,,346.0
1,bn100619015,"[77, 101]",Band+BlackBody,True,Converged (|f_n-f_(n-1)| ~= 0),264.21239660451977,,0.0043 -0.0004 + 0.0004,88.8542 -24.2646 + 37.7642,-1.6392 -0.0538 + 0.0585,-3.5877 -6.4123 + 1.5055,0.0000 -0.0000 + 0.0000,21.3444 -3.1970 + 2.4739,,344.0
2,bn100619015,"[77, 101]",Comptonized,True,Converged (|f_n-f_(n-1)| ~= 0),264.79276651212444,,0.0075 -0.0004 + 0.0004,,-1.3745 -0.0358 + 0.0372,,,,92.7691 -10.3940 + 11.7965,347.0
3,bn100619015,"[77, 101]",Comptonized+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),267.38436905092215,,0.0025 -0.0002 + 0.0002,,-1.9000 -0.0000 + 0.0593,,0.0000 -0.0000 + 0.0000,24.5801 -2.6275 + 1.5577,193.4389 -160.1824 + 1046.6844,345.0
0,,,,,,,,,,,,,,,
0,bn121031949,"[-5, 40]",Band,True,Converged (|f_n-f_(n-1)| ~= 0),597.9454073862069,,0.0049 -0.0003 + 0.0003,261.8297 -26.4341 + 29.4861,-0.9472 -0.0595 + 0.0646,-2.0001 -0.1562 + 0.0000,,,,459.0
1,bn121031949,"[-5, 40]",Band+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),597.9232052326747,,0.0032 -0.0002 + 0.0002,501.3851 -89.0770 + 227.8317,-1.1603 -0.0785 + 0.0905,-2.4508 -7.5492 + 0.4507,0.0000 -0.0000 + 0.0000,29.9489 -5.3820 + 3.5284,,457.0
2,bn121031949,"[-5, 40]",Comptonized,True,Converged (|f_n-f_(n-1)| ~= 0),601.93625599049,,0.0036 -0.0002 + 0.0002,,-1.1354 -0.0519 + 0.0555,,,,512.3377 -67.1069 + 97.3619,460.0
3,bn121031949,"[-5, 40]",Comptonized+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),605.1689096388548,,0.0043 -0.0003 + 0.0002,,-1.0127 -0.0704 + 0.0724,,0.0000 -0.0000 + 0.0000,29.9895 -29.9895 + 13.5427,323.9309 -31.7345 + 67.2642,458.0
0,,,,,,,,,,,,,,,
0,bn121031949,"[193, 232]",Band,True,Converged (|x_n-x_(n-1)| ~= 0),505.38803658657,,0.0051 -0.0003 + 0.0003,166.2392 -19.0487 + 21.4409,-1.1689 -0.0440 + 0.0465,-2.2964 -7.7036 + 0.2963,,,,459.0
1,bn121031949,"[193, 232]",Band+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),507.7554844122893,,0.0025 -0.0002 + 0.0002,483.8860 -219.4454 + 448.1590,-1.5189 -0.0625 + 0.0691,-2.9033 -7.0967 + 0.9032,0.0000 -0.0000 + 0.0000,26.2877 -3.2644 + 2.3243,,457.0
2,bn121031949,"[193, 232]",Comptonized,True,Converged (|f_n-f_(n-1)| ~= 0),506.30582430515705,,0.0046 -0.0002 + 0.0002,,-1.2198 -0.0389 + 0.0412,,,,193.6589 -21.1602 + 24.2680,460.0
3,bn121031949,"[193, 232]",Comptonized+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),506.39769117820094,,0.0037 -0.0002 + 0.0002,,-1.3097 -0.0537 + 0.0583,,0.0000 -0.0000 + 0.0000,19.2173 -9.9832 + 3.8458,240.4664 -43.8560 + 58.2041,458.0
0,,,,,,,,,,,,,,,
0,bn140108721,"[0, 12]",Band,True,Converged (|f_n-f_(n-1)| ~= 0),340.2148233695938,,0.0133 -0.0005 + 0.0005,170.9112 -14.4629 + 14.6651,-1.1990 -0.0351 + 0.0367,-2.5083 -7.4917 + 0.4076,,,,459.0
1,bn140108721,"[0, 12]",Band+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),346.27037994456106,,0.0061 -0.0004 + 0.0004,480.0190 -214.1559 + 343.8823,-1.6008 -0.0503 + 0.0540,-2.5805 -7.4195 + 0.5804,0.0000 -0.0000 + 0.0000,30.5296 -2.1869 + 1.7493,,457.0
2,bn140108721,"[0, 12]",Comptonized,True,Converged (|f_n-f_(n-1)| ~= 0),341.50417950498786,,0.0131 -0.0005 + 0.0005,,-1.2053 -0.0306 + 0.0318,,,,177.6133 -12.6063 + 13.7221,460.0
3,bn140108721,"[0, 12]",Comptonized+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),346.549163364048,,0.0092 -0.0005 + 0.0004,,-1.3873 -0.0510 + 0.0392,,0.0000 -0.0000 + 0.0000,29.9876 -12.4309 + 4.7744,298.4959 -82.1495 + 30.1959,458.0
0,,,,,,,,,,,,,,,
0,bn140108721,"[78, 102]",Band,True,Converged (|f_n-f_(n-1)| ~= 0),489.7472734357255,,0.0083 -0.0003 + 0.0003,543.3182 -61.3791 + 72.2402,-1.2305 -0.0377 + 0.0394,-2.3656 -7.6344 + 0.3655,,,,459.0
1,bn140108721,"[78, 102]",Band+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),489.69040398525016,,0.0083 -0.0003 + 0.0003,543.2858 -72.8809 + 93.8271,-1.2325 -0.0459 + 0.0489,-2.3658 -7.6342 + 0.3657,0.0000 -0.0000 + 0.0000,30.0002 -30.0002 + 19.6789,,457.0
2,bn140108721,"[78, 102]",Comptonized,True,Converged (|f_n-f_(n-1)| ~= 0),490.0265911698352,,0.0082 -0.0002 + 0.0002,,-1.2441 -0.0325 + 0.0337,,,,603.7002 -62.9660 + 73.6817,460.0
3,bn140108721,"[78, 102]",Comptonized+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),490.0780717872681,,0.0082 -0.0003 + 0.0003,,-1.2345 -0.0421 + 0.0447,,0.0000 -0.0000 + 0.0000,29.9822 -29.9822 + 18.9870,564.6452 -65.3940 + 97.1683,458.0
0,,,,,,,,,,,,,,,
0,bn151027166,"[0, 38]",Band,True,Converged (|f_n-f_(n-1)| ~= 0),373.89550975276177,,0.0052 -0.0003 + 0.0003,111.5891 -12.5267 + 14.2475,-1.2855 -0.0407 + 0.0431,-6.4535 -3.5465 + 4.1149,,,,459.0
1,bn151027166,"[0, 38]",Band+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),386.3097476812759,,0.0025 -0.0003 + 0.0001,490.5611 -376.4955 + 225.7650,-1.6697 -0.0610 + 0.0614,-2.4950 -7.5050 + 0.4949,0.0000 -0.0000 + 0.0000,28.6230 -28.6230 + 5.3253,,457.0
2,bn151027166,"[0, 38]",Comptonized,True,Converged (|f_n-f_(n-1)| ~= 0),373.8961126133528,,0.0052 -0.0003 + 0.0003,,-1.2863 -0.0354 + 0.0371,,,,111.8117 -11.0040 + 12.2079,460.0
