,Name,Time,Model,Fit Success,Reason,Pgstat,dof,A,Ep,alpha,Beta,Ab,kT,Ec,DOF
0,,,,,,,,,,,,,,,
0,bn081009140,"[0, 8]",Band,True,Converged (|f_n-f_(n-1)| ~= 0),235.83433129207924,,0.4714 -0.0039 + 0.0038,47.9510 -0.4274 + 0.4075,-1.0921 -0.0040 + 0.0041,-9.9672 -0.0328 + 6.0672,,,,344.0
1,bn081009140,"[0, 8]",Band+BlackBody,False,Linear search failed,215.47558192878503,,0.4880 -0.0052 + 0.0055,52.6170 -0.5596 + 0.5570,-0.9902 -0.0057 + 0.0057,-9.2978 -0.7022 + 5.3310,0.0285 -0.0026 + 0.0028,5.3998 -0.1327 + 0.1286,,342.0
2,bn081009140,"[0, 8]",Comptonized,True,Converged (|f_n-f_(n-1)| ~= 0),235.8537725873562,,0.4753 -0.0034 + 0.0033,,-1.0885 -0.0035 + 0.0035,,,,47.8937 -0.3462 + 0.3725,345.0
3,bn081009140,"[0, 8]",Comptonized+BlackBody,False,Linear search failed,235.8754827940749,,0.4674 -0.0042 + 0.0044,,-1.0963 -0.0045 + 0.0045,,0.0000 -0.0000 + 0.0000,28.3161 -28.3161 + 263.6101,47.9444 -0.4678 + 0.4680,343.0
0,,,,,,,,,,,,,,,
0,bn081009140,"[38, 51]",Band,True,Converged (|f_n-f_(n-1)| ~= 0),273.28927609544803,,0.0484 -0.0008 + 0.0008,2.8583 -0.0573 + 0.0680,-1.8997 -0.0003 + 0.0018,-6.5458 -3.4542 + 2.4000,,,,344.0
1,bn081009140,"[38, 51]",Band+BlackBody,True,Converged (|x_n-x_(n-1)| ~= 0),261.0394440589856,,0.0910 -0.0017 + 0.0021,8.2375 -0.1798 + 0.1713,-1.6355 -0.0050 + 0.0048,-5.9168 -4.0832 + 1.9349,0.0000 -0.0000 + 0.0000,29.6653 -29.6653 + 671.7325,,342.0
2,bn081009140,"[38, 51]",Comptonized,True,Converged (|f_n-f_(n-1)| ~= 0),269.7447818065299,,0.0544 -0.0008 + 0.0008,,-1.8458 -0.0018 + 0.0026,,,,4.2447 -0.0906 + 0.0648,345.0
3,bn081009140,"[38, 51]",Comptonized+BlackBody,True,Converged (|f_n-f_(n-1)| ~= 0),272.7433316959839,,0.0490 -0.0010 + 0.0009,,-1.8927 -0.0019 + 0.0025,,0.0000 -0.0000 + 0.0000,29.8770 -29.8770 + 618.1107,3.0653 -0.0805 + 0.0686,343.0
0,,,,,,,,,,,,,,,
0,bn081126899,"[-6, 9]",Band,True,Converged (|f_n-f_(n-1)| ~= 0),337.967275113238,,0.0060 -0.0004 + 0.0004,494.0393 -67.4743 + 83.8407,-1.0074 -0.0826 + 0.0920,-2.0001 -0.2632 + 0.0000,,,,345.0
