,GRB_name,fit_num,Time,model_name,dof,AIC,BIC,DIC,PDIC,log_posterior,para_names,para_values,para_errors_negative,para_errors_positive,flux_main,flux_add
0,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,bn100619015,0_fitting,0-12,BB,347,4050.314708636277,4057.990170399756,4061.3037549312585,-20.72887672725028,-2023.140013277676,"['bn100619015.spectrum.main.Blackbody.K', 'bn100619015.spectrum.main.Blackbody.kT']",[7.13904481e-05 2.06835753e+01],[-1.74339917e-05 -1.40192507e+00],[2.14620960e-05 1.58985269e+00],1.363430862692619e-07 erg / (s cm2),
3,bn100619015,1_fitting,0-12,BB,347,4050.309654160686,4057.9851159241657,4075.8523727774814,1.341723571023067,-2023.1374860398803,"['bn100619015.spectrum.main.Blackbody.K', 'bn100619015.spectrum.main.Blackbody.kT']",[7.31438639e-05 2.05574641e+01],[-1.63695944e-05 -1.37362753e+00],[2.16323456e-05 1.42956513e+00],1.3592039402491898e-07 erg / (s cm2),
4,bn100619015,0_fitting,0-12,Band,345,4019.3617836664216,4034.665792285464,3997.955007477687,1.556921206824427,-2005.622752298327,"['bn100619015.spectrum.main.Band.K', 'bn100619015.spectrum.main.Band.alpha', 'bn100619015.spectrum.main.Band.xp', 'bn100619015.spectrum.main.Band.beta']",[ 1.16855076e-02 -1.04526418e+00  1.04323355e+02 -2.56084361e+00],[-2.72910338e-03 -1.52622477e-01 -1.41692113e+01 -3.16666504e-01],[4.26981026e-03 1.74924163e-01 1.77280835e+01 2.56146100e-01],2.65248134373728e-07 erg / (s cm2),
5,bn100619015,1_fitting,0-12,Band,345,4019.198476898984,4034.5024855180254,3998.650297213189,2.293640554638841,-2005.5410989146085,"['bn100619015.spectrum.main.Band.K', 'bn100619015.spectrum.main.Band.alpha', 'bn100619015.spectrum.main.Band.xp', 'bn100619015.spectrum.main.Band.beta']",[ 1.14587031e-02 -1.05431882e+00  1.05722868e+02 -2.57466448e+00],[-2.69284271e-03 -1.55876144e-01 -1.43857045e+01 -3.08841790e-01],[4.01810833e-03 1.67642682e-01 1.82387710e+01 2.54212067e-01],2.620009680106828e-07 erg / (s cm2),
6,bn100619015,0_fitting,0-12,Band_BB,343,3890.804434503261,3913.689252001388,-75272.36393083411,-79244.16655037015,-1939.2794102340868,"['bn100619015.spectrum.main.composite.K_1', 'bn100619015.spectrum.main.composite.alpha_1', 'bn100619015.spectrum.main.composite.xp_1', 'bn100619015.spectrum.main.composite.beta_1', 'bn100619015.spectrum.main.composite.K_2', 'bn100619015.spectrum.main.composite.kT_2']","[ 1.22799619e-02 -1.02784243e+00  9.99657114e+01 -2.48530266e+00
  2.18982972e-06  1.70174802e+01]","[-3.82161411e-03 -2.07482211e-01 -6.58122427e+01 -3.51932475e-01
 -2.18817488e-06 -1.46911814e+01]","[1.27521638e-02 2.62947248e-01 2.23217058e+01 3.37093249e-01
 1.97750129e-05 1.74947133e+01]",2.4671852128009507e-07 erg / (s cm2),4.2101403951289317e-10 erg / (s cm2)
7,bn100619015,1_fitting,0-12,Band_BB,343,3890.9911577307994,3913.875975228925,-823.6001796657893,-4792.954005260605,-1939.3727718478556,"['bn100619015.spectrum.main.composite.K_1', 'bn100619015.spectrum.main.composite.alpha_1', 'bn100619015.spectrum.main.composite.xp_1', 'bn100619015.spectrum.main.composite.beta_1', 'bn100619015.spectrum.main.composite.K_2', 'bn100619015.spectrum.main.composite.kT_2']","[ 1.23429464e-02 -1.02693920e+00  1.00450285e+02 -2.53432163e+00
  5.29569320e-07  1.41986976e+01]","[-3.64857765e-03 -1.93556307e-01 -6.18377448e+01 -3.50376130e-01
 -5.28348823e-07 -1.20361082e+01]","[1.03712137e-02 2.17717002e-01 2.01389578e+01 3.38716424e-01
 1.70487628e-05 1.84488701e+01]",2.496404840335252e-07 erg / (s cm2),1.5835902249599313e-10 erg / (s cm2)
8,bn100619015,0_fitting,0-12,CPL,346,4019.95488054386,4031.450531093076,3434.4504080480983,-564.1158476574728,-2006.9426576632345,"['bn100619015.spectrum.main.Cutoff_powerlaw_Ep.K', 'bn100619015.spectrum.main.Cutoff_powerlaw_Ep.index', 'bn100619015.spectrum.main.Cutoff_powerlaw_Ep.xp']",[  1.74825786  -1.11770176 116.40483535],[ -0.67341769  -0.17156425 -14.81554113],[ 1.17177591  0.1609396  25.83700132],2.0340523681280156e-07 erg / (s cm2),
9,bn100619015,1_fitting,0-12,CPL,346,4019.8531893538498,4031.3488399030657,3992.0346529326034,-4.4932842910207,-2006.8918120682288,"['bn100619015.spectrum.main.Cutoff_powerlaw_Ep.K', 'bn100619015.spectrum.main.Cutoff_powerlaw_Ep.index', 'bn100619015.spectrum.main.Cutoff_powerlaw_Ep.xp']",[  1.71550981  -1.11132416 115.3063157 ],[ -0.63798665  -0.14403229 -14.02099456],[ 0.93215307  0.1544881  19.75549835],2.020117455893265e-07 erg / (s cm2),
