name,trigger_time,fluence,t90,t90_error,t90_start,t90_stop,dets,background_interval,t_90_pulse_intervals_prior,grb_chosen_times
bn081009140,54748.13956,0.000038302,41.345,0.264,1.344,42.689,"['b0', 'n3', 'n4']","-25--5,60-80","['-0.5-10', '35-50']","['0-8', '38-51']"
bn081126899,54796.89872,0.000011449,54.145,0.923,-18.048,36.097,"['b0', 'n0', 'n1']","-30--20,80-100","['-2-6', '28-40']","['-6-9', '30-40']"
bn091123298,55158.29765,0.000034809,624.459,3.367,4.608,629.067,"['b0', 'n2', 'n5']","-25--5,90-110,210-230","['-2-30', '160-185']","['2-40', '160-204']"
bn100619015,155366.01466,0.00001129,96.002,1.319,0.384,96.386,"['b0', 'n2', 'n5']","-25--5,30-50,160-180","['0.1-12', '80-93']","['0-12', '77-101']"
bn110729142,55771.14243,0.000046399,408.582,2.29,2.08,410.662,"['b1', 'n6', 'n7', 'n8']","-30--10,210-230","['-2-40', '155-200']","['0-48', '160-200']"
bn110903111,55807.11082,0.000034703,341.254,2.288,-0.256,340.998,"['b0', 'n0', 'n3', 'n4']","-25--5,90-110,250-270","['-2-22', '190-240']","['0-23', '192-235']"
bn111228657,55923.65661,0.000018138,99.842,2.111,-49.409,50.433,"['b1', 'n7', 'n8', 'nb']","-30--25,75-85","['-14-12', '40-60']","['-13-12', '42-60']"
bn120716712,56124.71185,0.000012651,226.048,1.056,0.256,226.304,"['b1', 'n9', 'na']","-20--5,60-80,250-270","['-1-5', '175-220']","['-1-10', '178-228']"
bn121031949,56231.94948,0.00001454,242.436,4.404,-27.392,215.044,"['b0', 'n3', 'n4', 'n5']","-25--10,100-120,230-250","['-3-30', '185-224']","['-5-40', '193-232']"
bn130219775,56342.7749,0.000028469,96.129,0.405,0.64,96.769,"['b0', 'n3', 'n4', 'n5']","-20--5,30-45,140-160","['-2-6', '70-110']","['-2-6', '72-100']"
bn140108721,56665.72133,0.000019727,91.393,2.36,1.536,92.929,"['b0', 'n1', 'n2', 'na']","-20--5,130-150","['-2-10', '70-102']","['0-12', '78-102']"
bn140512814,56789.81369,0.000029345,147.97,2.36,2.048,150.018,"['b0', 'n0', 'n1']","-20--5,200-220","['-3-12', '100-150']","['0-25', '108-154']"
bn140716436,56854.43608,0.000011831,168.253,53.762,0.005,168.258,"['b0', 'n5']","-25--5,140-160","['-2-3', '90-110']","['-1-5', '90-110']"
bn150802127,57236.12711,0.000014592,313.093,2.673,-34.817,278.276,"['b0', 'n5']","-30--10,120-140,300-320","['-5-40', '270-290']","['-5-40', '270-295']"
bn151027166,57322.16556,0.000014069,123.394,1.145,0.256,123.65,"['b0', 'n0', 'n3', 'n6']","-25--5,40-60,150-170","['0.1-28', '95-140']","['0-38', '95-126']"
